Job Title,Job ID,City,State,Country,Category,Apply Link
Site Reliability Engineer - L2,28068,Bharuch,Gujarat,India,Cloud,https://careers.wipro.com/job/Site-Reliability-Engineer-L2/28068-en_US
Lead Administrator - L1,83455,Chennai; Pune,Maharashtra; Tamil Nadu,India,Cloud,https://careers.wipro.com/job/Lead-Administrator-L1/83455-en_US
Senior MLM - L3,81315,Kolkata; Pune,Maharashtra; West Bengal,India,,https://careers.wipro.com/job/Senior-MLM-L3/81315-en_US
Developer - L4,81897,Chennai; Greater Noida,Tamil Nadu; Uttar Pradesh,India,Business Process,https://careers.wipro.com/job/Developer-L4/81897-en_US
Domain Consultant - L3,86411,Pune,Maharashtra,India,Consulting,https://careers.wipro.com/job/Domain-Consultant-L3/86411-en_US
Technical Lead - L1,82860,Bengaluru,Karnataka,India,Digital Experience,https://careers.wipro.com/job/Technical-Lead-L1/82860-en_US
Developer - L3,82862,Pune,Maharashtra,India,Digital Experience,https://careers.wipro.com/job/Developer-L3/82862-en_US
DevOps Engineer - L4,82863,Hyderabad,Telangana,India,Digital Experience,https://careers.wipro.com/job/DevOps-Engineer-L4/82863-en_US
DevOps Engineer - L4,82865,Hyderabad,Telangana,India,Digital Experience,https://careers.wipro.com/job/DevOps-Engineer-L4/82865-en_US
Test Engineer - L3,82869,Pune,Maharashtra,India,Digital Experience,https://careers.wipro.com/job/Test-Engineer-L3/82869-en_US
Business Analyst - L4,82871,Bengaluru,Karnataka,India,Consulting,https://careers.wipro.com/job/Business-Analyst-L4/82871-en_US
Business Analyst - L4,82873,Bengaluru,Karnataka,India,Consulting,https://careers.wipro.com/job/Business-Analyst-L4/82873-en_US
Lead Administrator - L1,82886,Hyderabad,Telangana,India,Cloud,https://careers.wipro.com/job/Lead-Administrator-L1/82886-en_US
Production Agent - L1,85982,Hyderabad,Telangana,India,Business Process,https://careers.wipro.com/job/Production-Agent-L1/85982-en_US
System Engineer - L2,82878,Bengaluru,Karnataka,India,Cloud,https://careers.wipro.com/job/System-Engineer-L2/82878-en_US
Technical Lead - L1,78895,Hyderabad,Telangana,India,Digital Experience,https://careers.wipro.com/job/Technical-Lead-L1/78895-en_US
Solution Architect - L1,85853,Pune,Maharashtra,India,Digital Experience,https://careers.wipro.com/job/Solution-Architect-L1/85853-en_US
Mid Level manager (MLM) - L3,86239,Hyderabad,Telangana,India,,https://careers.wipro.com/job/Mid-Level-manager-%28MLM%29-L3/86239-en_US
Domain Consultant - L4,84031,Mumbai,Maharashtra,India,Consulting,https://careers.wipro.com/job/Domain-Consultant-L4/84031-en_US
Techno Functional Consultant - L2,73881,Hyderabad,Telangana,India,Cloud,https://careers.wipro.com/job/Techno-Functional-Consultant-L2/73881-en_US
Technical Lead - L1,78905,Hyderabad,Telangana,India,Digital Experience,https://careers.wipro.com/job/Technical-Lead-L1/78905-en_US
