Timestamp,Role,Location,Company,Category,Job Link,Responsibilities,Qualifications,Apply Link
09/08/2025 18:32:42,Fleet excellence manager,Bahadurgarh,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:32:42,Senior Fleet Excellence Manager,Indore-Metro Tower - SNO,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:32:42,Fleet excellence manager,Guwahati,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:32:42,Fleet Excellence Manager,Indore-Metro Tower - SNO,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:32:42,Principal Software Engineer,Bangalore,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:32:42,Area Manager I,Chandigarh,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:32:48,Fleet Manager,Madurai,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:32:48,Fleet Manager,Ooty,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:32:48,Fleet Manager,Karaikudi,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:32:48,Manager - Finance,Bangalore,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:32:48,Client Servicing Manager,Mumbai,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:32:48,Sales Manager II,Coimbatore,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:32:48,Sales Manager I,Ahmedabad,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:32:48,Business Associate,Bangalore,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:32:48,Account Manager - Retail,Surat-Regent Square - SNO,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:32:48,Manager - Finance,Bangalore_Embassy Tech Village,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:32:55,Key Account Manager I,Chennai,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:32:55,Sales Manager I,Chennai,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:32:55,Business Associate,Bangalore_Embassy Tech Village,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:32:55,Senior Manager - Ad sales,Mumbai,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:32:55,Account Manager - Retail,Jaipur,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:32:55,Manager - MarTech,Bengaluru,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:32:55,city lead,Jaipur,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:32:55,Key Account Manager I,Hyderabad-Dwaraka Icon - City Office,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:32:55,Content Lead,Mumbai,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:32:55,Sales Manager I,Rohtak,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:33:01,Executive-Videographer,Delhi,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:33:01,Content Lead,Chennai,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:33:01,Executive - Graphic Designer,Mumbai,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:33:01,Senior Executive - RBP,Vishakapatnam,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:33:01,Executive - Videographer,Bengaluru,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:33:01,Content Executive,Delhi,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:33:01,Analyst - Finance,Bangalore_Embassy Tech Village,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:33:01,Sales Manager I,Kadapa,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:33:01,Sales Manager II,Bhimavaram,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:33:01,Sales Manager I,Kurnool,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:33:07,Sales Manager I,Nizamabad,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:33:07,Senior Strategic Account Manager,Mumbai,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:33:07,General Manager - Marketing,Bangalore,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:33:07,Key Account Manager I,Jammu,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:33:07,Senior Executive - Marketing,Bangalore_Embassy Tech Village,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:33:07,AM - Partnerships (Travel),Bangalore,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
09/08/2025 18:33:07,Team Member,Bangalore,Swiggy,N/A,https://careers.swiggy.com/#/careers,Visit job link for details,Visit job link for details,https://careers.swiggy.com/#/careers
